Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
17,Anaheim Ducks,39-32-11,5-8,3-3,25-11-5,14-21-6,9-7-2,30-25-9,2-4-0,3-1-2,4-2-0,10-8-2,13-4-3,7-13-4,18-6-11,10-16-0,4-6-2,6-5-2,6-6-3,9-6-0,5-2-0,7-6-1,2-1-3
18,Philadelphia Flyers,41-35-6,4-3,2-3,24-14-3,17-21-3,33-28-3,8-7-3,14-9-1,9-9-2,10-10-0,4-0-1,1-4-1,3-3-1,17-11-6,17-13-0,6-4-1,7-6-0,6-8-1,8-5-1,5-2-0,6-7-3,3-3-0
19,Montreal Canadiens,39-33-10,7-5,8-5,20-16-5,19-17-5,32-24-8,7-9-2,10-8-2,11-9-4,11-7-2,1-2-2,2-6-0,4-1-0,20-14-10,9-9-0,7-7-0,5-5-2,9-7-1,4-6-3,4-3-0,8-4-2,2-1-2
20,Dallas Stars,37-31-14,7-10,2-4,23-11-7,14-20-7,7-9-2,30-22-12,2-5-0,2-3-0,3-1-2,9-8-3,10-6-4,11-8-5,18-6-14,9-15-0,6-3-5,6-5-2,6-3-4,6-9-0,4-1-1,6-8-2,3-2-0
21,New York Rangers,38-33-11,3-4,1-7,18-17-6,20-16-5,31-23-10,7-10-1,10-10-4,11-6-3,10-7-3,1-4-1,2-3-0,4-3-0,13-11-11,18-11-0,8-5-1,5-8-0,6-4-3,6-7-3,3-3-0,6-5-3,4-1-1
22,Minnesota Wild,38-36-8,5-7,5-1,25-12-4,13-24-4,10-4-4,28-32-4,6-1-0,3-1-1,1-2-3,8-11-1,15-7-2,5-14-1,24-12-8,6-14-0,5-9-0,5-3-3,10-6-0,7-6-1,3-3-0,7-7-2,1-2-2
23,Atlanta Thrashers,35-34-13,4-6,2-7,19-16-6,16-18-7,27-27-10,8-7-3,10-8-2,9-5-6,8-14-2,3-4-1,2-2-1,3-1-1,17-15-13,7-15-0,5-4-1,9-3-2,4-10-1,6-5-4,2-2-2,8-7-2,1-3-1
24,Carolina Hurricanes,35-37-10,4-5,5-5,21-17-3,14-20-7,30-25-9,5-12-1,8-8-4,10-8-2,12-9-3,1-4-0,3-3-1,1-5-0,14-7-10,15-16-0,2-7-3,3-10-2,5-6-2,9-5-0,5-2-0,9-5-2,2-2-1
25,Tampa Bay Lightning,34-36-12,4-7,5-5,21-14-6,13-22-6,28-29-7,6-7-5,7-11-2,8-8-4,13-10-1,1-4-0,3-2-1,2-1-4,15-11-12,11-21-0,4-3-4,6-4-4,5-8-2,7-6-1,4-3-0,5-10-1,3-2-0
26,New York Islanders,34-37-11,8-6,6-5,23-14-4,11-23-7,24-31-9,10-6-2,7-15-2,9-7-4,8-9-3,5-1-1,4-1-0,1-4-1,19-13-11,9-18-0,4-4-5,6-6-2,6-8-1,7-7-0,2-4-0,6-6-2,3-2-1
27,Columbus Blue Jackets,32-35-15,2-10,3-5,20-12-9,12-23-6,8-7-3,24-28-12,0-3-3,2-3-0,6-1-0,7-9-8,8-10-2,9-9-2,15-11-15,8-17-0,6-5-1,7-4-3,2-9-5,7-8-0,3-2-1,7-4-3,0-3-2
28,Florida Panthers,32-37-13,6-10,2-3,16-16-9,16-21-4,25-30-9,7-7-4,10-5-5,7-12-1,8-13-3,3-3-1,2-3-1,2-1-2,15-10-13,13-20-0,4-7-1,6-5-3,6-6-3,8-4-2,0-5-1,6-7-2,2-3-1
29,Toronto Maple Leafs,30-38-14,4-4,5-10,18-17-6,12-21-8,25-26-13,5-12-1,6-11-3,10-7-7,9-8-3,3-2-0,1-7-0,1-3-1,16-8-14,10-19-0,1-7-4,5-5-3,8-6-2,3-10-2,2-3-0,9-5-2,2-2-1
30,Edmonton Oilers,27-47-8,8-6,1-2,18-19-4,9-28-4,7-9-2,20-38-6,2-3-0,2-4-2,3-2-0,6-13-1,8-14-2,6-11-3,14-13-8,6-18-0,7-6-1,3-7-3,6-8-0,0-10-2,3-5-0,5-9-1,3-2-1

