Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
11,San Jose Sharks,45-27-10,5-3,5-7,25-13-3,20-14-7,16-13-3,29-14-7,8-5-3,8-8-0,8-9-4,21-5-3,18-4-10,17-9-0,6-5-0,7-3-2,7-4-2,6-4-4,8-5-1,10-4-1,1-2-0
12,Los Angeles Kings,45-29-8,2-1,9-7,23-15-3,22-14-5,21-10-1,24-19-7,12-4-0,9-6-1,11-8-2,13-11-5,14-11-8,19-8-0,9-2-1,6-6-2,8-3-2,4-7-0,8-6-0,8-4-3,2-1-0
13,Philadelphia Flyers,42-26-14,2-7,9-7,22-13-6,20-13-8,28-15-9,14-11-5,14-7-3,14-8-6,6-5-3,8-6-2,19-9-14,10-12-0,6-5-1,2-5-6,8-4-1,8-4-0,10-1-2,5-6-4,3-1-0
14,Columbus Blue Jackets,45-30-7,6-4,9-3,26-12-3,19-18-4,30-17-5,15-13-2,16-7-1,14-10-4,7-6-1,8-7-1,23-7-7,13-11-0,8-4-0,8-4-1,6-7-2,5-4-1,5-7-1,12-3-1,1-1-1
15,New Jersey Devils,44-29-9,5-4,6-5,23-14-4,21-15-5,30-16-6,14-13-3,14-6-4,16-10-2,7-6-1,7-7-2,25-8-9,12-11-0,8-2-0,6-4-4,8-4-2,3-6-2,8-6-0,8-6-1,3-1-0
16,Florida Panthers,44-30-8,3-3,3-5,27-11-3,17-19-5,29-16-7,15-14-1,17-8-3,12-8-4,6-7-1,9-7-0,21-9-8,13-13-0,4-6-1,6-6-1,7-4-3,3-6-1,9-3-0,10-5-2,5-0-0
17,Colorado Avalanche,43-30-9,2-1,6-8,28-11-2,15-19-7,19-11-2,24-19-7,10-5-1,9-6-1,13-10-3,11-9-4,11-6-9,19-13-0,6-5-0,6-4-2,7-7-1,8-2-1,7-6-1,8-4-3,1-2-1
18,St. Louis Blues,44-32-6,3-0,8-6,24-17-0,20-15-6,21-10-1,23-22-5,11-5-0,10-5-1,11-12-3,12-10-2,19-8-6,15-17-0,10-2-1,7-5-0,7-8-1,7-3-1,4-8-1,8-3-2,1-3-0
19,Dallas Stars,42-32-8,4-3,5-5,26-12-3,16-20-5,15-9-8,27-23-0,7-4-5,8-5-3,12-14-0,15-9-0,16-5-8,14-16-0,7-5-0,7-5-1,8-5-2,6-4-1,8-4-0,4-8-4,2-1-0
20,Calgary Flames,37-35-10,2-5,7-5,17-20-4,20-15-6,14-13-5,23-22-5,6-7-3,8-6-2,11-8-2,12-14-3,21-7-10,13-20-0,6-6-0,8-4-1,5-6-3,6-1-4,7-7-1,4-9-1,1-2-0
21,Carolina Hurricanes,36-35-11,3-3,3-8,19-16-6,17-19-5,24-22-6,12-13-5,14-9-1,10-13-5,6-7-1,6-6-4,14-13-11,10-15-0,4-4-2,6-4-3,8-5-2,5-6-1,4-6-3,8-8-0,1-2-0
22,New York Islanders,35-37-10,3-3,7-7,19-18-4,16-19-6,22-27-3,13-10-7,9-14-1,13-13-2,5-7-2,8-3-5,16-11-10,12-17-0,7-4-1,8-3-1,5-8-2,5-7-1,4-6-2,3-9-3,3-0-0
23,Edmonton Oilers,36-40-6,5-1,7-5,19-18-4,17-22-2,13-17-2,23-23-4,7-9-0,6-8-2,7-12-2,16-11-2,18-13-6,12-18-0,3-6-1,7-8-1,7-5-1,5-5-0,5-8-1,7-7-2,2-1-0
24,New York Rangers,34-39-9,3-5,7-4,21-16-4,13-23-5,20-25-7,14-14-2,10-11-3,10-14-4,2-10-2,12-4-0,16-10-9,9-18-0,4-7-2,9-3-0,7-3-3,5-7-0,3-10-1,6-6-3,0-3-0
25,Chicago Blackhawks,33-39-10,1-2,6-8,18-18-5,15-21-5,17-12-3,16-27-7,8-5-3,9-7-0,9-14-3,7-13-4,11-8-10,14-21-0,5-5-2,7-4-2,6-5-2,6-5-1,3-9-1,5-9-2,1-2-0
26,Vancouver Canucks,31-40-11,0-5,6-6,16-18-7,15-22-4,13-15-4,18-25-7,5-9-2,8-6-2,9-8-4,9-17-3,11-7-11,14-23-0,6-3-2,6-7-2,4-8-1,4-6-1,4-8-2,6-8-1,1-0-2
27,Detroit Red Wings,30-39-13,5-1,3-12,16-16-9,14-23-4,18-22-12,12-17-1,8-16-4,10-6-8,4-9-1,8-8-0,10-14-13,11-16-0,6-6-1,4-5-4,5-5-2,5-5-1,6-6-2,4-11-1,0-1-2
28,Montreal Canadiens,29-40-13,2-6,3-7,18-14-9,11-26-4,20-23-9,9-17-4,13-10-5,7-13-4,4-7-3,5-10-1,11-4-13,10-20-0,4-7-1,8-5-2,4-7-1,4-5-2,4-5-4,4-9-2,1-2-1
29,Arizona Coyotes,29-41-12,2-5,7-7,16-21-4,13-20-8,12-17-3,17-24-9,7-9-0,5-8-3,7-12-2,10-12-7,16-10-12,10-16-0,1-11-1,5-7-3,3-9-1,3-2-4,6-5-1,10-6-1,1-1-1
30,Ottawa Senators,28-43-11,2-7,8-4,16-19-6,12-24-5,17-28-7,11-15-4,10-14-4,7-14-3,5-8-1,6-7-3,17-15-11,7-23-0,5-2-5,3-7-1,4-8-2,3-7-1,6-7-1,6-9-1,1-3-0
31,Buffalo Sabres,25-45-12,1-2,5-10,11-25-5,14-20-7,16-29-7,9-16-5,11-14-3,5-15-4,3-9-2,6-7-3,11-11-12,4-23-0,3-7-2,3-8-2,4-5-4,4-7-1,6-6-2,5-8-1,0-4-0

