Rk,,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,NEA,SEA,CEN,NWE,PAC,²1,³3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
11,Phoenix Coyotes,42-27-13,6-10,3-3,22-13-6,20-14-7,8-7-3,34-20-10,2-4-1,3-0-2,3-3-0,8-9-3,13-5-2,13-6-5,17-11-13,14-13-0,5-3-2,8-4-1,6-9-1,3-5-4,11-0-1,6-6-4,3-0-0
12,San Jose Sharks,43-29-10,9-5,3-5,26-12-3,17-17-7,12-5-1,31-24-9,4-1-0,4-2-0,4-2-1,10-8-2,9-5-6,12-11-1,22-13-10,12-8-0,6-4-0,7-3-1,6-4-3,9-3-2,5-8-1,7-7-3,3-0-0
13,Los Angeles Kings,40-27-15,6-9,3-6,22-14-5,18-13-10,7-7-4,33-20-11,2-1-3,2-4-0,3-2-1,12-8-0,8-8-4,13-4-7,17-14-15,12-6-0,6-3-2,6-5-2,7-6-2,5-2-4,5-7-2,10-4-1,1-0-2
14,Florida Panthers,38-26-18,6-11,1-7,21-9-11,17-17-7,33-19-12,5-7-6,8-7-5,13-4-3,12-8-4,0-4-2,2-0-4,3-3-0,17-5-18,8-15-0,6-4-1,7-3-3,7-5-3,2-3-4,8-5-1,7-5-4,1-1-2
15,Washington Capitals,42-32-8,4-4,7-4,26-11-4,16-21-4,34-22-8,8-10-0,8-8-4,14-6-0,12-8-4,4-3-0,2-3-0,2-4-0,19-9-8,12-17-0,7-2-0,5-8-1,8-5-1,6-4-2,6-7-1,8-5-3,2-1-0
16,Ottawa Senators,41-31-10,6-4,5-6,20-17-4,21-14-6,34-22-8,7-9-2,12-5-3,9-12-3,13-5-2,2-3-0,4-2-2,1-4-0,18-11-10,17-10-0,7-5-0,5-5-2,7-5-3,8-5-1,7-3-2,6-5-2,1-3-0
17,Calgary Flames,37-29-16,3-9,2-7,23-12-6,14-17-10,6-7-5,31-22-11,1-2-2,3-4-1,2-1-2,7-11-2,15-6-3,9-5-6,19-5-16,10-12-0,4-4-1,6-8-0,8-4-4,5-6-1,5-2-5,7-5-5,2-0-0
18,Dallas Stars,42-35-5,7-4,4-1,22-16-3,20-19-2,8-7-3,34-28-2,3-4-1,3-0-2,2-3-0,8-11-1,14-6-0,12-11-1,20-10-5,11-19-0,8-3-0,6-6-1,7-6-0,4-6-1,8-5-3,9-6-0,0-3-0
19,Buffalo Sabres,39-32-11,7-7,5-4,21-12-8,18-20-3,28-26-10,11-6-1,6-11-3,13-6-5,9-9-2,2-5-0,4-0-1,5-1-0,21-9-11,10-12-0,6-4-0,7-6-1,4-7-3,4-7-1,7-3-3,10-4-2,1-1-1
20,Colorado Avalanche,41-35-6,9-2,7-4,22-17-2,19-18-4,13-4-1,28-31-5,4-2-1,5-0-0,4-2-0,9-9-2,8-14-2,11-8-1,23-11-6,11-17-0,7-4-0,4-9-1,10-5-0,5-6-1,7-3-2,8-6-2,0-2-0
21,Tampa Bay Lightning,38-36-8,3-3,10-5,25-14-2,13-22-6,29-29-6,9-7-2,9-10-1,7-12-1,13-7-4,3-4-0,2-1-2,4-2-0,25-3-8,9-19-0,5-4-2,6-7-0,6-6-1,5-6-1,7-5-2,7-7-1,2-1-1
22,Winnipeg Jets,37-35-10,4-4,6-6,23-13-5,14-22-5,29-26-9,8-9-1,6-11-3,9-9-2,14-6-4,0-4-1,4-3-0,4-2-0,19-11-10,9-14-0,4-6-1,5-5-3,10-3-1,4-8-1,7-5-2,6-7-1,1-1-1
23,Carolina Hurricanes,33-33-16,1-6,3-10,20-14-7,13-19-9,25-27-12,8-6-4,3-14-3,13-3-4,9-10-5,3-3-1,3-1-1,2-2-2,14-11-16,7-12-0,4-4-3,4-10-1,5-7-2,5-4-3,6-1-4,7-6-3,2-1-0
24,Minnesota Wild,35-36-11,11-9,2-2,20-17-4,15-19-7,5-9-4,30-27-7,1-4-1,1-2-2,3-3-1,9-6-5,11-12-1,10-9-1,23-9-11,4-17-0,4-3-3,11-4-0,6-6-3,3-6-1,4-7-2,5-9-1,2-1-1
25,Toronto Maple Leafs,35-37-10,4-5,5-5,18-16-7,17-21-3,26-31-7,9-6-3,9-6-5,9-14-1,8-11-1,3-2-0,4-3-1,2-1-2,16-12-10,10-17-0,7-3-1,7-6-1,4-6-3,7-4-1,4-9-1,5-8-2,1-1-1
26,Anaheim Ducks,34-36-12,3-7,2-5,21-18-2,13-18-10,8-6-4,26-30-8,3-0-3,2-4-0,3-2-1,6-11-3,10-7-3,10-12-2,17-8-12,8-10-0,5-5-1,2-8-3,3-8-2,9-2-1,8-4-3,6-7-1,1-2-1
27,New York Islanders,34-37-11,7-4,3-7,17-18-6,17-19-5,27-30-7,7-7-4,8-13-3,7-11-2,12-6-2,1-3-2,4-1-1,2-3-1,19-7-11,8-20-0,3-4-2,4-7-2,6-6-2,7-5-1,6-6-2,7-6-2,1-3-0
28,Montreal Canadiens,31-35-16,5-12,2-4,16-15-10,15-20-6,24-28-12,7-7-4,7-10-3,10-8-6,7-10-3,2-2-1,3-3-2,2-2-1,11-10-16,14-12-0,4-5-2,6-6-2,4-7-3,5-4-2,5-8-1,5-5-5,2-0-1
29,Edmonton Oilers,32-40-10,5-7,2-3,18-17-6,14-23-4,8-7-3,24-33-7,3-1-1,2-5-1,3-1-1,11-9-0,8-11-5,5-13-2,12-10-10,12-16-0,7-2-2,5-8-1,3-9-0,4-7-2,6-6-1,6-6-3,1-2-1
30,Columbus Blue Jackets,29-46-7,4-5,2-2,17-21-3,12-25-4,6-9-3,23-37-4,1-2-2,2-4-1,3-3-0,5-17-2,9-9-2,9-11-0,11-13-7,11-21-0,2-9-1,4-6-2,4-8-2,3-8-1,5-7-1,9-7-0,2-1-0

